,2 years,5 years,10 years,20 years
2011-03-02,0.61,1.238,1.877,2.225
2011-03-03,0.634,1.26,1.876,2.222
2011-03-04,0.659,1.293,1.896,2.225
2011-03-07,0.668,1.304,1.912,2.251
2011-03-08,0.66,1.304,1.927,2.257
2011-03-09,0.698,1.311,1.916,2.264
2011-03-10,0.693,1.288,1.892,2.255
2011-03-11,0.652,1.222,1.828,2.228
2011-03-14,0.669,1.254,1.861,2.245
2011-03-15,0.57,1.173,1.804,2.17
2011-03-16,0.58,1.185,1.813,2.194
2011-03-17,0.56,1.153,1.779,2.169
2011-03-18,0.565,1.16,1.785,2.155
2011-03-21,0.623,1.23,1.826,2.175
2011-03-22,0.643,1.27,1.871,2.198
2011-03-23,0.687,1.262,1.849,2.204
2011-03-24,0.685,1.261,1.856,2.223
2011-03-25,0.681,1.267,1.868,2.233
2011-03-28,0.715,1.296,1.902,2.273
2011-03-29,0.722,1.317,1.904,2.236
2011-03-30,0.706,1.358,1.935,2.217
2011-03-31,0.702,1.346,1.931,2.262
2011-04-01,0.732,1.405,1.949,2.26
2011-04-04,0.74,1.42,2.029,2.332
2011-04-05,0.78,1.405,2.02,2.356
2011-04-06,0.814,1.458,2.06,2.37
2011-04-07,0.818,1.481,2.102,2.417
2011-04-08,0.801,1.514,2.068,2.385
2011-04-11,0.849,1.568,2.107,2.426
2011-04-12,0.842,1.518,2.137,2.465
2011-04-13,0.829,1.559,2.117,2.436
2011-04-14,0.819,1.49,2.116,2.441
2011-04-15,0.829,1.495,2.127,2.464
2011-04-18,0.792,1.448,2.097,2.453
2011-04-19,0.77,1.428,2.09,2.465
2011-04-20,0.778,1.445,2.103,2.467
2011-04-21,0.755,1.451,2.05,2.403
2011-04-22,0.755,1.451,2.05,2.403
2011-04-25,0.755,1.451,2.05,2.403
2011-04-26,0.752,1.443,2.034,2.383
2011-04-27,0.764,1.411,2.066,2.447
2011-04-28,0.756,1.419,2.094,2.495
2011-04-29,0.758,1.419,2.083,2.472
2011-05-02,0.779,1.432,2.081,2.458
2011-05-03,0.739,1.446,2.049,2.399
2011-05-04,0.738,1.43,2.038,2.397
2011-05-05,0.737,1.433,2.035,2.388
2011-05-06,0.697,1.367,2.009,2.388
2011-05-09,0.667,1.338,1.935,2.278
2011-05-10,0.653,1.319,1.925,2.278
2011-05-11,0.639,1.292,1.9,2.258
2011-05-12,0.592,1.226,1.887,2.276
2011-05-13,0.605,1.254,1.881,2.245
2011-05-16,0.623,1.279,1.935,2.297
2011-05-17,0.635,1.277,1.92,2.308
2011-05-18,0.624,1.256,1.894,2.279
2011-05-19,0.642,1.282,1.916,2.304
2011-05-20,0.648,1.291,1.922,2.303
2011-05-23,0.588,1.199,1.841,2.258
2011-05-24,0.608,1.23,1.866,2.266
2011-05-25,0.604,1.234,1.887,2.295
2011-05-26,0.594,1.231,1.896,2.301
2011-05-27,0.587,1.204,1.849,2.255
2011-05-30,0.574,1.187,1.839,2.249
2011-05-31,0.588,1.205,1.849,2.256
2011-06-01,0.595,1.209,1.842,2.238
2011-06-02,0.595,1.209,1.842,2.238
2011-06-03,0.563,1.155,1.782,2.198
2011-06-06,0.544,1.137,1.78,2.196
2011-06-07,0.543,1.139,1.789,2.212
2011-06-08,0.535,1.134,1.798,2.227
2011-06-09,0.519,1.104,1.749,2.171
2011-06-10,0.472,1.033,1.676,2.111
2011-06-13,0.472,1.033,1.676,2.111
2011-06-14,0.461,1.035,1.699,2.133
2011-06-15,0.461,1.036,1.708,2.145
2011-06-16,0.433,1.003,1.704,2.182
2011-06-17,0.411,0.972,1.679,2.168
2011-06-20,0.404,0.969,1.683,2.172
2011-06-21,0.424,1.01,1.725,2.187
2011-06-22,0.423,1.008,1.717,2.173
2011-06-23,0.409,0.988,1.703,2.168
2011-06-24,0.398,0.973,1.686,2.147
2011-06-27,0.374,0.94,1.668,2.159
2011-06-28,0.392,0.962,1.684,2.169
2011-06-29,0.349,0.988,1.721,2.151
2011-06-30,0.347,0.995,1.739,2.169
2011-07-01,0.421,1.012,1.735,2.207
2011-07-04,0.423,1.005,1.701,2.169
2011-07-05,0.348,0.993,1.732,2.158
2011-07-06,0.336,0.98,1.708,2.127
2011-07-07,0.346,0.97,1.696,2.126
2011-07-08,0.341,0.989,1.72,2.143
2011-07-11,0.293,0.908,1.658,2.096
2011-07-12,0.243,0.801,1.541,1.978
2011-07-13,0.214,0.821,1.534,1.942
2011-07-14,0.225,0.816,1.535,1.95
2011-07-15,0.234,0.814,1.509,1.906
2011-07-18,0.2,0.798,1.484,1.87
2011-07-19,0.238,0.838,1.532,1.926
2011-07-20,0.245,0.851,1.555,1.957
2011-07-21,0.251,0.87,1.59,2.003
2011-07-22,0.292,0.887,1.601,2.024
2011-07-25,0.264,0.856,1.565,1.98
2011-07-26,0.286,0.827,1.543,1.97
2011-07-27,0.236,0.775,1.475,1.89
2011-07-28,0.234,0.731,1.436,1.859
2011-07-29,0.218,0.736,1.436,1.847
2011-08-01,0.218,0.736,1.436,1.847
2011-08-02,0.166,0.654,1.341,1.748
2011-08-03,0.124,0.63,1.327,1.73
2011-08-04,0.118,0.615,1.322,1.743
2011-08-05,0.095,0.554,1.26,1.682
2011-08-08,0.057,0.548,1.282,1.722
2011-08-09,0.129,0.475,1.202,1.675
2011-08-10,0.042,0.506,1.23,1.662
2011-08-11,0.075,0.435,1.145,1.601
2011-08-12,0.052,0.435,1.182,1.657
2011-08-15,0.115,0.524,1.245,1.71
2011-08-16,0.075,0.49,1.195,1.637
2011-08-17,0.07,0.481,1.153,1.566
2011-08-18,0.075,0.32,0.991,1.471
2011-08-19,0.066,0.312,0.927,1.36
2011-08-22,0.091,0.396,0.956,1.344
2011-08-23,0.107,0.43,1.029,1.432
2011-08-24,0.081,0.448,1.021,1.39
2011-08-25,0.082,0.471,1.076,1.463
2011-08-26,0.057,0.455,1.068,1.457
2011-08-29,0.112,0.465,1.061,1.47
2011-08-30,0.044,0.484,1.116,1.503
2011-08-31,0.155,0.572,1.133,1.55
2011-09-01,0.061,0.544,1.168,1.542
2011-09-02,0.094,0.477,1.091,1.5
2011-09-05,0.083,0.395,1.002,1.423
2011-09-06,0.145,0.42,0.994,1.428
2011-09-07,0.096,0.468,1.075,1.481
2011-09-08,0.056,0.47,1.082,1.459
2011-09-09,0.085,0.46,1.08,1.483
2011-09-12,0.068,0.43,1.04,1.435
2011-09-13,0.061,0.418,1.037,1.449
2011-09-14,0.073,0.45,1.059,1.45
2011-09-15,0.058,0.446,1.073,1.478
2011-09-16,0.071,0.447,1.069,1.471
2011-09-19,0.061,0.416,1.037,1.446
2011-09-20,0.042,0.41,1.036,1.442
2011-09-21,0.046,0.399,1.01,1.407
2011-09-22,0.099,0.378,0.934,1.322
2011-09-23,0.088,0.357,0.919,1.304
2011-09-26,0.069,0.367,0.947,1.33
2011-09-27,0.084,0.382,0.944,1.335
2011-09-28,0.072,0.37,0.954,1.348
2011-09-29,0.094,0.392,0.961,1.342
2011-09-30,0.055,0.393,1.003,1.396
2011-10-03,0.012,0.332,0.962,1.374
2011-10-04,0.024,0.336,0.925,1.305
2011-10-05,0.055,0.364,0.954,1.336
2011-10-06,0.047,0.392,0.985,1.366
2011-10-07,0.049,0.406,1.014,1.398
2011-10-10,0.054,0.385,0.999,1.396
2011-10-11,0.067,0.429,1.038,1.421
2011-10-12,0.028,0.427,1.044,1.428
2011-10-13,0.037,0.438,1.085,1.498
2011-10-14,0.053,0.429,1.065,1.465
2011-10-17,0.045,0.453,1.101,1.512
2011-10-18,0.075,0.429,1.039,1.425
2011-10-19,0.039,0.44,1.082,1.476
2011-10-20,0.01,0.405,1.059,1.458
2011-10-21,0.109,0.425,1.04,1.469
2011-10-24,0.105,0.431,1.044,1.451
2011-10-25,0.077,0.441,1.08,1.492
2011-10-26,0.013,0.434,1.071,1.459
2011-10-27,0.036,0.437,1.082,1.486
2011-10-28,0.024,0.458,1.13,1.54
2011-10-31,0.016,0.423,1.082,1.492
2011-11-01,0.055,0.384,1.009,1.418
2011-11-02,0.021,0.357,0.993,1.403
2011-11-03,-0.027,0.332,0.974,1.373
2011-11-04,0.021,0.328,0.967,1.379
2011-11-07,0.039,0.282,0.891,1.303
2011-11-08,0.006,0.293,0.927,1.342
2011-11-09,0.008,0.298,0.92,1.324
2011-11-10,0.012,0.311,0.929,1.331
2011-11-11,0.037,0.315,0.934,1.34
2011-11-14,0.005,0.309,0.94,1.349
2011-11-15,0.024,0.285,0.902,1.317
2011-11-16,0.038,0.308,0.926,1.339
2011-11-17,0.035,0.279,0.888,1.301
2011-11-18,0.037,0.348,0.898,1.362
2011-11-21,0.032,0.298,0.898,1.289
2011-11-22,0.019,0.295,0.905,1.307
2011-11-23,0.013,0.296,0.9,1.305
2011-11-24,0.033,0.316,0.938,1.344
2011-11-25,0.007,0.297,0.913,1.311
2011-11-28,-0.008,0.322,0.954,1.349
2011-11-29,0.012,0.337,0.95,1.337
2011-11-30,0.003,0.326,0.945,1.331
2011-12-01,0.009,0.307,0.932,1.331
2011-12-02,0.01,0.277,0.91,1.326
2011-12-05,0.013,0.264,0.89,1.315
2011-12-06,0.005,0.28,0.905,1.322
2011-12-07,0.003,0.245,0.873,1.294
2011-12-08,0.001,0.219,0.835,1.255
2011-12-09,-0.036,0.185,0.806,1.22
2011-12-12,-0.013,0.212,0.811,1.218
2011-12-13,-0.006,0.192,0.767,1.163
2011-12-14,-0.009,0.191,0.776,1.171
2011-12-15,-0.001,0.197,0.782,1.185
2011-12-16,0.027,0.213,0.777,1.18
2011-12-19,-0.051,0.193,0.78,1.158
2011-12-20,0.012,0.242,0.791,1.18
2011-12-21,0.038,0.237,0.804,1.192
2011-12-22,0.035,0.249,0.801,1.194
2011-12-23,0.013,0.229,0.776,1.14
2011-12-26,0.013,0.229,0.776,1.14
2011-12-27,0.031,0.224,0.774,1.151
2011-12-28,-0.001,0.245,0.793,1.149
2011-12-29,0.016,0.234,0.776,1.14
2011-12-30,0.013,0.199,0.74,1.109
2012-01-02,0.013,0.199,0.74,1.109
2012-01-03,0.015,0.204,0.749,1.125
2012-01-04,0.024,0.201,0.734,1.099
2012-01-05,0.007,0.18,0.701,1.065
2012-01-06,0.031,0.196,0.719,1.086
2012-01-09,-0.012,0.225,0.764,1.13
2012-01-10,0.033,0.238,0.77,1.148
2012-01-11,0.05,0.26,0.792,1.163
2012-01-12,0.035,0.219,0.756,1.132
2012-01-13,0.038,0.231,0.768,1.148
2012-01-16,0.042,0.223,0.756,1.132
2012-01-17,0.025,0.224,0.759,1.117
2012-01-18,0.069,0.217,0.723,1.094
2012-01-19,0.096,0.242,0.743,1.121
2012-01-20,0.106,0.254,0.733,1.117
2012-01-23,0.113,0.281,0.78,1.162
2012-01-24,0.103,0.29,0.813,1.183
2012-01-25,0.128,0.295,0.797,1.177
2012-01-26,0.127,0.292,0.786,1.16
2012-01-27,0.115,0.267,0.765,1.137
2012-01-30,0.109,0.274,0.758,1.121
2012-01-31,0.102,0.249,0.735,1.103
2012-02-01,0.083,0.214,0.706,1.077
2012-02-02,0.085,0.2,0.681,1.067
2012-02-03,0.08,0.203,0.689,1.082
2012-02-06,0.081,0.22,0.724,1.124
2012-02-07,0.074,0.244,0.75,1.145
2012-02-08,0.085,0.241,0.791,1.201
2012-02-09,0.077,0.261,0.817,1.217
2012-02-10,0.079,0.28,0.826,1.213
2012-02-13,0.087,0.25,0.81,1.237
2012-02-14,0.086,0.247,0.792,1.209
2012-02-15,0.085,0.253,0.799,1.198
2012-02-16,0.082,0.209,0.744,1.165
2012-02-17,0.091,0.237,0.788,1.217
2012-02-20,0.075,0.238,0.805,1.245
2012-02-21,0.075,0.249,0.821,1.253
2012-02-22,0.065,0.235,0.793,1.225
2012-02-23,0.075,0.23,0.789,1.214
2012-02-24,0.074,0.229,0.769,1.198
2012-02-27,0.053,0.217,0.769,1.182
2012-02-28,0.042,0.184,0.73,1.143
2012-02-29,0.056,0.192,0.72,1.14
2012-03-01,0.076,0.185,0.711,1.139
2012-03-02,0.095,0.21,0.71,1.133
2012-03-05,0.065,0.176,0.681,1.101
2012-03-06,0.083,0.188,0.686,1.098
2012-03-07,0.077,0.198,0.708,1.128
2012-03-08,0.094,0.218,0.724,1.139
2012-03-09,0.097,0.225,0.727,1.131
2012-03-12,0.095,0.224,0.724,1.13
2012-03-13,0.091,0.225,0.738,1.136
2012-03-14,0.093,0.28,0.812,1.209
2012-03-15,0.095,0.354,0.905,1.266
2012-03-16,0.135,0.39,0.931,1.299
2012-03-19,0.128,0.375,0.928,1.304
2012-03-20,0.115,0.371,0.934,1.324
2012-03-21,0.131,0.41,0.964,1.347
2012-03-22,0.111,0.37,0.919,1.277
2012-03-23,0.111,0.364,0.897,1.241
2012-03-26,0.107,0.362,0.896,1.246
2012-03-27,0.111,0.359,0.903,1.263
2012-03-28,0.113,0.368,0.907,1.262
2012-03-29,0.112,0.345,0.883,1.257
2012-03-30,0.094,0.313,0.854,1.211
2012-04-02,0.097,0.339,0.882,1.236
2012-04-03,0.125,0.334,0.872,1.24
2012-04-04,0.123,0.341,0.882,1.251
2012-04-05,0.1,0.31,0.852,1.228
2012-04-06,0.1,0.31,0.852,1.228
2012-04-09,0.1,0.31,0.852,1.228
2012-04-10,0.037,0.205,0.765,1.149
2012-04-11,0.042,0.223,0.778,1.152
2012-04-12,0.046,0.224,0.78,1.167
2012-04-13,0.063,0.22,0.759,1.156
2012-04-16,0.027,0.197,0.741,1.126
2012-04-17,0.047,0.212,0.762,1.138
2012-04-18,0.062,0.232,0.779,1.165
2012-04-19,0.064,0.232,0.763,1.14
2012-04-20,0.076,0.228,0.759,1.145
2012-04-23,0.068,0.243,0.776,1.158
2012-04-24,0.051,0.229,0.76,1.134
2012-04-25,0.05,0.243,0.782,1.147
2012-04-26,0.047,0.232,0.773,1.145
2012-04-27,0.055,0.212,0.723,1.086
2012-04-30,0.039,0.211,0.735,1.104
2012-05-01,0.039,0.211,0.735,1.104
2012-05-02,0.043,0.223,0.739,1.107
2012-05-03,0.054,0.188,0.706,1.073
2012-05-04,0.041,0.174,0.693,1.062
2012-05-07,0.015,0.155,0.679,1.043
2012-05-08,0.016,0.176,0.683,1.037
2012-05-09,0.017,0.15,0.672,1.034
2012-05-10,0.018,0.129,0.655,1.044
2012-05-11,0.026,0.148,0.666,1.055
2012-05-14,-0.003,0.129,0.65,1.025
2012-05-15,0.026,0.143,0.638,0.995
2012-05-16,0.026,0.147,0.65,1.004
2012-05-17,0.026,0.147,0.65,1.004
2012-05-18,-0.01,0.113,0.626,0.98
2012-05-21,-0.019,0.145,0.662,1.014
2012-05-22,-0.029,0.17,0.699,1.044
2012-05-23,-0.031,0.139,0.678,1.027
2012-05-24,-0.048,0.114,0.65,1.008
2012-05-25,-0.054,0.134,0.672,1.016
2012-05-28,-0.054,0.134,0.672,1.016
2012-05-29,-0.084,0.113,0.672,1.027
2012-05-30,-0.09,0.076,0.632,0.987
2012-05-31,-0.164,0.067,0.61,0.945
2012-06-01,-0.138,0.027,0.538,0.881
2012-06-04,-0.281,-0.031,0.537,0.883
2012-06-05,-0.258,0.014,0.573,0.899
2012-06-06,-0.26,0.016,0.605,0.95
2012-06-07,-0.238,0.11,0.662,0.974
2012-06-08,-0.235,0.033,0.622,0.971
2012-06-11,-0.286,0.072,0.654,0.982
2012-06-12,-0.33,0,0.582,0.911
2012-06-13,-0.34,-0.025,0.584,0.94
2012-06-14,-0.331,-0.032,0.596,0.962
2012-06-15,-0.225,-0.028,0.523,1.017
2012-06-18,-0.208,-0.002,0.567,1.054
2012-06-19,-0.192,-0.019,0.498,0.994
2012-06-20,-0.274,-0.011,0.615,0.986
2012-06-21,-0.31,0.009,0.632,0.99
2012-06-22,-0.345,-0.036,0.58,0.936
2012-06-25,-0.277,-0.011,0.587,0.95
2012-06-26,-0.292,-0.008,0.619,0.993
2012-06-27,-0.262,0.043,0.657,1.016
2012-06-28,-0.304,0.031,0.658,1.027
2012-06-29,-0.344,0.069,0.678,1.029
2012-07-02,-0.253,0.071,0.676,1.025
2012-07-03,-0.223,0.044,0.649,1.007
2012-07-04,-0.275,0.061,0.675,1.026
2012-07-05,-0.222,0.05,0.649,1.006
2012-07-06,-0.245,0.013,0.595,0.945
2012-07-09,-0.226,0.021,0.59,0.934
2012-07-10,-0.267,-0.001,0.586,0.935
2012-07-11,-0.269,0.013,0.597,0.947
2012-07-12,-0.261,-0.023,0.579,0.953
2012-07-13,-0.295,-0.035,0.564,0.935
2012-07-16,-0.306,-0.037,0.579,0.957
2012-07-17,-0.306,-0.015,0.603,0.98
2012-07-18,-0.235,-0.015,0.579,1.009
2012-07-19,-0.274,-0.021,0.584,0.975
2012-07-20,-0.265,-0.033,0.582,0.984
2012-07-23,-0.302,-0.062,0.538,0.924
2012-07-24,-0.319,-0.02,0.595,0.991
2012-07-25,-0.338,-0.018,0.595,0.964
2012-07-26,-0.257,-0.02,0.575,0.964
2012-07-27,-0.303,-0.012,0.596,0.97
2012-07-30,-0.325,-0.019,0.589,0.96
2012-07-31,-0.315,-0.043,0.561,0.932
2012-08-01,-0.315,-0.043,0.561,0.932
2012-08-02,-0.328,-0.057,0.542,0.915
2012-08-03,-0.346,-0.045,0.535,0.886
2012-08-06,-0.294,-0.028,0.564,0.935
2012-08-07,-0.293,0.015,0.6,0.949
2012-08-08,-0.251,0.043,0.627,0.993
2012-08-09,-0.284,0.034,0.647,1.014
2012-08-10,-0.274,0.035,0.636,1.002
2012-08-13,-0.272,0.006,0.615,0.992
2012-08-14,-0.276,0.016,0.628,1.004
2012-08-15,-0.248,0.042,0.652,1.025
2012-08-16,-0.22,0.042,0.632,0.998
2012-08-17,-0.201,0.048,0.631,1
2012-08-20,-0.21,0.048,0.634,1.011
2012-08-21,-0.206,0.038,0.625,0.999
2012-08-22,-0.216,0.028,0.622,0.999
2012-08-23,-0.24,0.008,0.61,0.987
2012-08-24,-0.253,-0.015,0.587,0.963
2012-08-27,-0.362,0.003,0.609,0.962
2012-08-28,-0.304,-0.012,0.595,0.969
2012-08-29,-0.323,-0.05,0.572,0.956
2012-08-30,-0.333,-0.037,0.581,0.951
2012-08-31,-0.327,-0.05,0.569,0.952
2012-09-03,-0.328,-0.028,0.578,0.947
2012-09-04,-0.308,-0.037,0.593,0.979
2012-09-05,-0.317,-0.058,0.563,0.944
2012-09-06,-0.244,-0.007,0.604,0.986
2012-09-07,-0.153,0.038,0.624,1.007
2012-09-10,-0.146,0.07,0.651,1.03
2012-09-11,-0.105,0.062,0.646,1.028
2012-09-12,-0.099,0.088,0.67,1.059
2012-09-13,-0.136,0.076,0.645,1.004
2012-09-14,-0.101,0.076,0.654,1.028
2012-09-17,-0.123,0.091,0.681,1.064
2012-09-18,-0.116,0.086,0.661,1.036
2012-09-19,-0.054,0.115,0.663,1.034
2012-09-20,-0.083,0.083,0.647,1.024
2012-09-21,-0.1,0.078,0.653,1.027
2012-09-24,-0.115,0.069,0.645,1.027
2012-09-25,-0.122,0.058,0.633,1.011
2012-09-26,-0.098,0.062,0.627,1.017
2012-09-27,-0.077,0.069,0.623,1.009
2012-09-28,-0.095,0.043,0.599,0.995
2012-10-01,-0.114,0.037,0.593,0.969
2012-10-02,-0.097,0.037,0.592,0.974
2012-10-03,-0.101,0.032,0.587,0.97
2012-10-04,-0.113,0.023,0.569,0.976
2012-10-05,-0.127,0.022,0.582,0.987
2012-10-08,-0.059,0.03,0.594,1.003
2012-10-09,-0.051,0.01,0.578,1.002
2012-10-10,-0.052,0.001,0.577,1.003
2012-10-11,-0.062,-0.011,0.56,0.998
2012-10-12,-0.046,0.002,0.573,1.008
2012-10-15,-0.077,-0.016,0.562,1.002
2012-10-16,-0.09,-0.014,0.577,1.011
2012-10-17,-0.079,0.017,0.594,1.027
2012-10-18,-0.058,0.029,0.618,1.056
2012-10-19,-0.066,0.027,0.613,1.051
2012-10-22,-0.083,0.004,0.597,1.032
2012-10-23,-0.086,-0.004,0.587,1.036
2012-10-24,-0.089,-0.013,0.567,1
2012-10-25,-0.078,0.018,0.589,1.006
2012-10-26,-0.083,0.006,0.573,0.993
2012-10-29,-0.077,0.009,0.57,0.986
2012-10-30,-0.081,0.019,0.578,0.991
2012-10-31,-0.063,0.034,0.597,1.015
2012-11-01,-0.074,0.019,0.57,0.981
2012-11-02,-0.07,0.007,0.564,0.993
2012-11-05,-0.037,0.001,0.559,0.982
2012-11-06,-0.098,0,0.567,0.98
2012-11-07,-0.09,-0.001,0.564,0.991
2012-11-08,-0.092,-0.006,0.539,0.962
2012-11-09,-0.097,-0.017,0.52,0.94
2012-11-12,-0.106,-0.032,0.52,0.934
2012-11-13,-0.108,-0.034,0.506,0.934
2012-11-14,-0.101,-0.038,0.516,0.952
2012-11-15,-0.104,-0.038,0.504,0.934
2012-11-16,-0.107,-0.027,0.52,0.948
2012-11-19,-0.1,-0.024,0.528,0.958
2012-11-20,-0.129,-0.023,0.529,0.954
2012-11-21,-0.103,0.007,0.573,0.993
2012-11-22,-0.082,-0.001,0.575,1.003
2012-11-23,-0.094,0.005,0.569,0.989
2012-11-26,-0.083,0,0.561,0.988
2012-11-27,-0.093,0.002,0.559,0.98
2012-11-28,-0.104,-0.006,0.558,0.979
2012-11-29,-0.096,-0.007,0.544,0.965
2012-11-30,-0.1,-0.016,0.53,0.954
2012-12-03,-0.106,-0.021,0.52,0.945
2012-12-04,-0.136,-0.031,0.535,0.947
2012-12-05,-0.153,-0.045,0.52,0.935
2012-12-06,-0.142,-0.043,0.504,0.921
2012-12-07,-0.165,-0.062,0.48,0.895
2012-12-10,-0.164,-0.073,0.452,0.863
2012-12-11,-0.173,-0.074,0.459,0.873
2012-12-12,-0.14,-0.044,0.498,0.927
2012-12-13,-0.138,-0.039,0.495,0.939
2012-12-14,-0.116,-0.025,0.526,0.989
2012-12-17,-0.129,-0.004,0.559,1.002
2012-12-18,-0.135,-0.004,0.553,0.994
2012-12-19,-0.121,0.015,0.569,1.008
2012-12-20,-0.124,0.013,0.575,1.014
2012-12-21,-0.117,0.027,0.587,1.023
2012-12-24,-0.117,0.027,0.587,1.023
2012-12-25,-0.117,0.027,0.587,1.023
2012-12-26,-0.117,0.027,0.587,1.023
2012-12-27,-0.109,0.03,0.578,1.017
2012-12-28,-0.116,0.017,0.557,1.004
2012-12-31,-0.116,0.017,0.557,1.004
2013-01-01,-0.116,0.017,0.557,1.004
2013-01-02,-0.116,0.017,0.557,1.004
2013-01-03,-0.121,0.039,0.595,1.031
2013-01-04,-0.106,0.058,0.607,1.047
2013-01-07,-0.111,0.044,0.597,1.048
2013-01-08,-0.1,0.051,0.603,1.045
2013-01-09,-0.095,0.042,0.603,1.047
2013-01-10,-0.07,0.049,0.599,1.05
2013-01-11,-0.063,0.075,0.655,1.109
2013-01-14,-0.065,0.095,0.673,1.106
2013-01-15,-0.07,0.09,0.658,1.105
2013-01-16,-0.031,0.106,0.666,1.12
2013-01-17,-0.011,0.138,0.711,1.175
2013-01-18,0.074,0.207,0.718,1.191
2013-01-21,0.049,0.17,0.701,1.165
2013-01-22,0.045,0.177,0.709,1.173
2013-01-23,0.033,0.174,0.696,1.155
2013-01-24,0.036,0.155,0.693,1.145
2013-01-25,0.05,0.178,0.711,1.16
2013-01-28,0.049,0.227,0.754,1.2
2013-01-29,0.053,0.244,0.784,1.218
2013-01-30,0.078,0.269,0.805,1.239
2013-01-31,0.093,0.282,0.789,1.221
2013-02-01,0.073,0.26,0.781,1.207
2013-02-04,0.06,0.262,0.794,1.211
2013-02-05,0.053,0.232,0.762,1.177
2013-02-06,0.071,0.218,0.76,1.193
2013-02-07,0.051,0.217,0.771,1.193
2013-02-08,0.056,0.204,0.756,1.188
2013-02-11,0.03,0.186,0.739,1.163
2013-02-12,0.037,0.19,0.748,1.174
2013-02-13,0.045,0.206,0.781,1.212
2013-02-14,0.037,0.214,0.786,1.217
2013-02-15,0.034,0.199,0.775,1.204
2013-02-18,0.041,0.205,0.777,1.21
2013-02-19,0.02,0.207,0.782,1.21
2013-02-20,0.052,0.229,0.799,1.225
2013-02-21,0.052,0.221,0.784,1.219
2013-02-22,0.034,0.219,0.784,1.213
2013-02-25,0.026,0.205,0.787,1.217
2013-02-26,0.019,0.18,0.752,1.185
2013-02-27,0.01,0.166,0.736,1.167
2013-02-28,0.029,0.167,0.721,1.149
2013-03-01,0.005,0.153,0.708,1.136
2013-03-04,0.005,0.136,0.691,1.12
2013-03-05,0.01,0.151,0.71,1.132
2013-03-06,0.028,0.184,0.73,1.143
2013-03-07,0.031,0.185,0.729,1.136
2013-03-08,0.049,0.191,0.736,1.153
2013-03-11,0.036,0.204,0.767,1.188
2013-03-12,0.043,0.218,0.781,1.208
2013-03-13,0.04,0.213,0.787,1.216
2013-03-14,0.046,0.238,0.821,1.258
2013-03-15,0.054,0.246,0.818,1.256
2013-03-18,0.021,0.173,0.759,1.213
2013-03-19,0.015,0.187,0.765,1.207
2013-03-20,0.008,0.166,0.746,1.189
2013-03-21,-0.007,0.173,0.752,1.194
2013-03-22,0.009,0.17,0.74,1.186
2013-03-25,0.011,0.184,0.768,1.207
2013-03-26,0.019,0.176,0.764,1.214
2013-03-27,0.005,0.169,0.768,1.22
2013-03-28,-0.012,0.145,0.747,1.203
2013-03-29,-0.012,0.145,0.747,1.203
2013-04-01,-0.012,0.145,0.747,1.203
2013-04-02,-0.029,0.123,0.733,1.187
2013-04-03,-0.031,0.131,0.715,1.159
2013-04-04,-0.043,0.11,0.701,1.157
2013-04-05,-0.04,0.117,0.703,1.152
2013-04-08,-0.08,0.112,0.691,1.128
2013-04-09,-0.037,0.133,0.722,1.168
2013-04-10,-0.032,0.145,0.734,1.176
2013-04-11,-0.021,0.14,0.727,1.171
2013-04-12,-0.031,0.129,0.726,1.181
