,2 years,5 years,10 years,20 years
2011-01-03,0.47,1.071,1.653,1.983
2011-01-04,0.487,1.06,1.632,1.964
2011-01-05,0.492,1.048,1.609,1.934
2011-01-06,0.52,1.119,1.686,2.009
2011-01-07,0.518,1.138,1.712,2.037
2011-01-10,0.499,1.097,1.687,2.028
2011-01-11,0.507,1.092,1.666,1.998
2011-01-12,0.518,1.123,1.703,2.036
2011-01-13,0.533,1.132,1.739,2.097
2011-01-14,0.573,1.216,1.795,2.124
2011-01-17,0.572,1.234,1.831,2.172
2011-01-18,0.588,1.262,1.868,2.215
2011-01-19,0.572,1.225,1.834,2.184
2011-01-20,0.554,1.217,1.835,2.19
2011-01-21,0.583,1.244,1.847,2.195
2011-01-24,0.617,1.259,1.848,2.192
2011-01-25,0.583,1.22,1.815,2.16
2011-01-26,0.593,1.236,1.825,2.165
2011-01-27,0.595,1.239,1.834,2.182
2011-01-28,0.613,1.26,1.847,2.187
2011-01-31,0.605,1.229,1.818,2.162
2011-02-01,0.633,1.26,1.831,2.164
2011-02-02,0.647,1.288,1.861,2.195
2011-02-03,0.626,1.265,1.849,2.188
2011-02-04,0.616,1.248,1.89,2.235
2011-02-07,0.611,1.257,1.922,2.26
2011-02-08,0.611,1.249,1.91,2.272
2011-02-09,0.631,1.278,1.941,2.306
2011-02-10,0.618,1.27,1.952,2.321
2011-02-11,0.601,1.259,1.946,2.298
2011-02-14,0.584,1.271,1.886,2.236
2011-02-15,0.62,1.26,1.922,2.292
2011-02-16,0.627,1.27,1.925,2.279
2011-02-17,0.624,1.265,1.913,2.271
2011-02-18,0.605,1.246,1.903,2.244
2011-02-21,0.617,1.257,1.907,2.258
2011-02-22,0.594,1.217,1.86,2.223
2011-02-23,0.613,1.247,1.891,2.239
2011-02-24,0.631,1.245,1.852,2.206
2011-02-25,0.63,1.262,1.895,2.244
2011-02-28,0.621,1.254,1.897,2.244
2011-03-01,0.625,1.259,1.9,2.265
