SNB data portal,,,,
1988-07-18,4.085,4.047,4.225,4.387
1988-07-19,4.085,4.047,4.225,4.387
1988-07-20,4.085,4.047,4.225,4.387
1988-07-21,4.085,4.047,4.225,4.387
1988-07-22,4.085,4.047,4.225,4.387
1988-07-25,4.042,4.162,4.3,4.381
1988-07-26,4.042,4.162,4.3,4.381
1988-07-27,4.042,4.162,4.3,4.381
1988-07-28,4.042,4.162,4.3,4.381
1988-07-29,4.195,4.215,4.222,4.226
1988-08-01,4.195,4.215,4.222,4.226
1988-08-02,4.083,4.123,4.302,4.429
1988-08-03,4.083,4.123,4.302,4.429
1988-08-04,4.083,4.123,4.302,4.429
1988-08-05,4.083,4.123,4.302,4.429
1988-08-08,4.048,4.106,4.299,4.419
1988-08-09,4.048,4.106,4.299,4.419
1988-08-10,4.048,4.106,4.299,4.419
1988-08-11,4.048,4.106,4.299,4.419
1988-08-12,4.048,4.106,4.299,4.419
1988-08-15,4.004,4.048,4.298,4.478
1988-08-16,4.004,4.048,4.298,4.478
1988-08-17,4.004,4.048,4.298,4.478
1988-08-18,4.004,4.048,4.298,4.478
1988-08-19,4.004,4.048,4.298,4.478
1988-08-22,4.048,4.093,4.321,4.464
1988-08-23,4.048,4.093,4.321,4.464
1988-08-24,4.048,4.093,4.321,4.464
1988-08-25,4.048,4.093,4.321,4.464
1988-08-26,4.048,4.093,4.321,4.464
1988-08-29,3.828,4.005,4.307,4.52
1988-08-30,3.828,4.005,4.307,4.52
1988-08-31,3.959,4.037,4.292,4.498
1988-09-01,3.959,4.037,4.292,4.498
1988-09-02,3.959,4.037,4.292,4.498
1988-09-05,3.973,4.069,4.301,4.477
1988-09-06,3.973,4.069,4.301,4.477
1988-09-07,3.973,4.069,4.301,4.477
1988-09-08,3.973,4.069,4.301,4.477
1988-09-09,3.973,4.069,4.301,4.477
1988-09-12,3.872,4.033,4.284,4.447
1988-09-13,3.872,4.033,4.284,4.447
1988-09-14,3.872,4.033,4.284,4.447
1988-09-15,3.872,4.033,4.284,4.447
1988-09-16,3.872,4.033,4.284,4.447
1988-09-19,3.873,4.114,4.263,4.341
1988-09-20,3.873,4.114,4.263,4.341
1988-09-21,3.873,4.114,4.263,4.341
1988-09-22,3.873,4.114,4.263,4.341
1988-09-23,3.873,4.114,4.263,4.341
1988-09-26,3.803,4.097,4.254,4.333
1988-09-27,3.803,4.097,4.254,4.333
1988-09-28,3.803,4.097,4.254,4.333
1988-09-29,3.803,4.097,4.254,4.333
1988-09-30,3.798,4.041,4.257,4.381
1988-10-03,4.073,4.023,4.21,4.491
1988-10-04,4.073,4.023,4.21,4.491
1988-10-05,4.073,4.023,4.21,4.491
1988-10-06,4.073,4.023,4.21,4.491
1988-10-07,4.073,4.023,4.21,4.491
1988-10-10,4.101,4.039,4.181,4.485
1988-10-11,4.101,4.039,4.181,4.485
1988-10-12,4.101,4.039,4.181,4.485
1988-10-13,4.101,4.039,4.181,4.485
1988-10-14,4.101,4.039,4.181,4.485
1988-10-17,4.226,4.051,4.047,4.403
1988-10-18,4.226,4.051,4.047,4.403
1988-10-19,4.226,4.051,4.047,4.403
1988-10-20,4.226,4.051,4.047,4.403
1988-10-21,4.226,4.051,4.047,4.403
1988-10-24,4.236,4.015,4.024,4.403
1988-10-25,4.236,4.015,4.024,4.403
1988-10-26,4.236,4.015,4.024,4.403
1988-10-27,4.236,4.015,4.024,4.403
1988-10-28,4.236,4.015,4.024,4.403
1988-10-31,4.157,3.986,4.014,4.406
1988-11-01,4.157,3.986,4.014,4.406
1988-11-02,4.157,3.986,4.014,4.406
1988-11-03,4.157,3.986,4.014,4.406
1988-11-04,4.157,3.986,4.014,4.406
1988-11-07,3.935,3.931,4.047,4.404
1988-11-08,3.935,3.931,4.047,4.404
1988-11-09,3.935,3.931,4.047,4.404
1988-11-10,3.935,3.931,4.047,4.404
1988-11-11,3.935,3.931,4.047,4.404
1988-11-14,3.876,3.87,4.031,4.391
1988-11-15,3.876,3.87,4.031,4.391
1988-11-16,3.876,3.87,4.031,4.391
1988-11-17,3.876,3.87,4.031,4.391
1988-11-18,3.876,3.87,4.031,4.391
1988-11-21,4.035,3.893,4.064,4.371
1988-11-22,4.035,3.893,4.064,4.371
1988-11-23,4.035,3.893,4.064,4.371
1988-11-24,4.035,3.893,4.064,4.371
1988-11-25,4.035,3.893,4.064,4.371
1988-11-28,4.29,4.003,4.042,4.387
1988-11-29,4.29,4.003,4.042,4.387
1988-11-30,4.29,4.003,4.042,4.387
1988-12-01,4.29,4.003,4.042,4.387
1988-12-02,4.29,4.003,4.042,4.387
1988-12-05,4.279,4.04,3.991,4.354
1988-12-06,4.279,4.04,3.991,4.354
1988-12-07,4.279,4.04,3.991,4.354
1988-12-08,4.279,4.04,3.991,4.354
1988-12-09,4.279,4.04,3.991,4.354
1988-12-12,4.334,3.974,4.079,4.366
1988-12-13,4.334,3.974,4.079,4.366
1988-12-14,4.334,3.974,4.079,4.366
1988-12-15,4.334,3.974,4.079,4.366
1988-12-16,4.334,3.974,4.079,4.366
1988-12-19,4.235,3.979,4.131,4.405
1988-12-20,4.235,3.979,4.131,4.405
1988-12-21,4.235,3.979,4.131,4.405
1988-12-22,4.235,3.979,4.131,4.405
1988-12-23,4.235,3.979,4.131,4.405
1988-12-26,4.235,3.979,4.131,4.405
1988-12-27,4.147,4.059,4.219,4.331
1988-12-28,4.147,4.059,4.219,4.331
1988-12-29,4.147,4.059,4.219,4.331
1988-12-30,4.425,4.074,4.107,4.374
1989-01-02,4.425,4.074,4.107,4.374
1989-01-03,4.402,4.082,4.104,4.363
1989-01-04,4.402,4.082,4.104,4.363
1989-01-05,4.402,4.082,4.104,4.363
1989-01-06,4.402,4.082,4.104,4.363
1989-01-09,4.736,4.159,4.265,4.387
1989-01-10,4.736,4.159,4.265,4.387
1989-01-11,4.736,4.159,4.265,4.387
1989-01-12,4.736,4.159,4.265,4.387
1989-01-13,4.736,4.159,4.265,4.387
1989-01-16,5.066,4.478,4.24,4.377
1989-01-17,5.066,4.478,4.24,4.377
1989-01-18,5.066,4.478,4.24,4.377
1989-01-19,5.066,4.478,4.24,4.377
1989-01-20,5.066,4.478,4.24,4.377
1989-01-23,5.158,4.598,4.371,4.462
1989-01-24,5.158,4.598,4.371,4.462
1989-01-25,5.158,4.598,4.371,4.462
1989-01-26,5.158,4.598,4.371,4.462
1989-01-27,5.158,4.598,4.371,4.462
1989-01-30,5.185,4.688,4.488,4.458
1989-01-31,5.14,4.653,4.517,4.45
1989-02-01,5.14,4.653,4.517,4.45
1989-02-02,5.14,4.653,4.517,4.45
1989-02-03,5.14,4.653,4.517,4.45
1989-02-06,5.292,4.764,4.541,4.448
1989-02-07,5.292,4.764,4.541,4.448
1989-02-08,5.292,4.764,4.541,4.448
1989-02-09,5.292,4.764,4.541,4.448
1989-02-10,5.292,4.764,4.541,4.448
1989-02-13,5.265,4.773,4.562,4.64
1989-02-14,5.265,4.773,4.562,4.64
1989-02-15,5.265,4.773,4.562,4.64
1989-02-16,5.265,4.773,4.562,4.64
1989-02-17,5.265,4.773,4.562,4.64
1989-02-20,5.435,4.839,4.589,4.691
1989-02-21,5.435,4.839,4.589,4.691
1989-02-22,5.435,4.839,4.589,4.691
1989-02-23,5.435,4.839,4.589,4.691
1989-02-24,5.435,4.839,4.589,4.691
1989-02-27,5.677,4.838,4.614,4.703
1989-02-28,5.522,4.926,4.719,4.615
1989-03-01,5.522,4.926,4.719,4.615
1989-03-02,5.522,4.926,4.719,4.615
1989-03-03,5.522,4.926,4.719,4.615
1989-03-06,5.532,4.886,4.725,4.793
1989-03-07,5.532,4.886,4.725,4.793
1989-03-08,5.532,4.886,4.725,4.793
1989-03-09,5.532,4.886,4.725,4.793
1989-03-10,5.532,4.886,4.725,4.793
1989-03-13,5.445,4.91,4.72,4.762
1989-03-14,5.445,4.91,4.72,4.762
1989-03-15,5.445,4.91,4.72,4.762
1989-03-16,5.445,4.91,4.72,4.762
1989-03-17,5.445,4.91,4.72,4.762
1989-03-20,5.388,4.919,4.716,4.753
1989-03-21,5.388,4.919,4.716,4.753
1989-03-22,5.388,4.919,4.716,4.753
1989-03-23,5.388,4.919,4.716,4.753
1989-03-24,5.388,4.919,4.716,4.753
1989-03-27,5.388,4.919,4.716,4.753
1989-03-28,5.43,4.962,4.731,4.737
1989-03-29,5.43,4.962,4.731,4.737
1989-03-30,5.43,4.962,4.731,4.737
1989-03-31,5.473,4.954,4.798,4.72
1989-04-03,5.522,5.022,4.81,4.684
1989-04-04,5.522,5.022,4.81,4.684
1989-04-05,5.522,5.022,4.81,4.684
1989-04-06,5.522,5.022,4.81,4.684
1989-04-07,5.522,5.022,4.81,4.684
1989-04-10,5.485,4.977,4.833,4.829
1989-04-11,5.485,4.977,4.833,4.829
1989-04-12,5.485,4.977,4.833,4.829
1989-04-13,5.485,4.977,4.833,4.829
1989-04-14,5.485,4.977,4.833,4.829
1989-04-17,5.636,4.945,4.877,4.939
1989-04-18,5.636,4.945,4.877,4.939
1989-04-19,5.636,4.945,4.877,4.939
1989-04-20,5.636,4.945,4.877,4.939
1989-04-21,5.636,4.945,4.877,4.939
1989-04-24,5.687,5.101,4.822,4.975
1989-04-25,5.687,5.101,4.822,4.975
1989-04-26,5.687,5.101,4.822,4.975
1989-04-27,5.687,5.101,4.822,4.975
1989-04-28,5.845,5.132,5.054,5.061
1989-05-01,5.845,5.132,5.054,5.061
1989-05-02,5.822,5.134,5.048,5.088
1989-05-03,5.822,5.134,5.048,5.088
1989-05-04,5.822,5.134,5.048,5.088
1989-05-05,5.822,5.134,5.048,5.088
1989-05-08,6.058,5.356,5.135,5.026
1989-05-09,6.058,5.356,5.135,5.026
1989-05-10,6.058,5.356,5.135,5.026
1989-05-11,6.058,5.356,5.135,5.026
1989-05-12,6.058,5.356,5.135,5.026
1989-05-15,6.058,5.356,5.135,5.026
1989-05-16,6.37,5.442,5.173,5.142
1989-05-17,6.37,5.442,5.173,5.142
1989-05-18,6.37,5.442,5.173,5.142
1989-05-19,6.37,5.442,5.173,5.142
1989-05-22,6.454,5.444,5.213,5.167
1989-05-23,6.454,5.444,5.213,5.167
1989-05-24,6.454,5.444,5.213,5.167
1989-05-25,6.454,5.444,5.213,5.167
1989-05-26,6.454,5.444,5.213,5.167
1989-05-29,6.45,5.472,5.195,5.362
1989-05-30,6.45,5.472,5.195,5.362
1989-05-31,6.476,5.483,5.242,5.143
1989-06-01,6.476,5.483,5.242,5.143
1989-06-02,6.476,5.483,5.242,5.143
1989-06-05,6.153,5.433,5.184,5.06
1989-06-06,6.153,5.433,5.184,5.06
1989-06-07,6.153,5.433,5.184,5.06
1989-06-08,6.153,5.433,5.184,5.06
1989-06-09,6.153,5.433,5.184,5.06
1989-06-12,6.099,5.326,5.066,4.936
1989-06-13,6.099,5.326,5.066,4.936
1989-06-14,6.099,5.326,5.066,4.936
1989-06-15,6.099,5.326,5.066,4.936
1989-06-16,6.099,5.326,5.066,4.936
1989-06-19,6.007,5.113,5.08,5.156
1989-06-20,6.007,5.113,5.08,5.156
1989-06-21,6.007,5.113,5.08,5.156
1989-06-22,6.007,5.113,5.08,5.156
1989-06-23,6.007,5.113,5.08,5.156
1989-06-26,5.954,5.09,5.063,5.153
1989-06-27,5.954,5.09,5.063,5.153
1989-06-28,5.954,5.09,5.063,5.153
1989-06-29,5.954,5.09,5.063,5.153
1989-06-30,6.019,5.066,5.105,5.229
1989-07-03,6.024,5.057,5.097,5.235
1989-07-04,6.024,5.057,5.097,5.235
1989-07-05,6.024,5.057,5.097,5.235
1989-07-06,6.024,5.057,5.097,5.235
1989-07-07,6.024,5.057,5.097,5.235
1989-07-10,5.938,5.046,5.11,5.258
1989-07-11,5.938,5.046,5.11,5.258
1989-07-12,5.938,5.046,5.11,5.258
1989-07-13,5.938,5.046,5.11,5.258
1989-07-14,5.938,5.046,5.11,5.258
1989-07-17,5.675,5.052,5.169,5.298
1989-07-18,5.675,5.052,5.169,5.298
1989-07-19,5.675,5.052,5.169,5.298
1989-07-20,5.675,5.052,5.169,5.298
1989-07-21,5.675,5.052,5.169,5.298
1989-07-24,5.679,5.118,5.162,5.229
1989-07-25,5.679,5.118,5.162,5.229
1989-07-26,5.679,5.118,5.162,5.229
1989-07-27,5.679,5.118,5.162,5.229
1989-07-28,5.679,5.118,5.162,5.229
1989-07-31,5.618,5.123,5.173,5.226
1989-08-01,5.618,5.123,5.173,5.226
1989-08-02,5.618,5.123,5.173,5.226
1989-08-03,5.618,5.123,5.173,5.226
1989-08-04,5.618,5.123,5.173,5.226
1989-08-07,5.652,5.061,5.115,5.192
1989-08-08,5.652,5.061,5.115,5.192
1989-08-09,5.652,5.061,5.115,5.192
1989-08-10,5.652,5.061,5.115,5.192
1989-08-11,5.652,5.061,5.115,5.192
1989-08-14,5.812,5.084,5.124,5.21
1989-08-15,5.812,5.084,5.124,5.21
1989-08-16,5.812,5.084,5.124,5.21
1989-08-17,5.812,5.084,5.124,5.21
1989-08-18,5.812,5.084,5.124,5.21
1989-08-21,5.717,5.122,5.169,5.211
1989-08-22,5.717,5.122,5.169,5.211
1989-08-23,5.717,5.122,5.169,5.211
1989-08-24,5.717,5.122,5.169,5.211
1989-08-25,5.717,5.122,5.169,5.211
1989-08-28,5.822,5.188,5.174,5.192
1989-08-29,5.822,5.188,5.174,5.192
1989-08-30,5.822,5.188,5.174,5.192
1989-08-31,6.145,5.19,5.195,5.265
1989-09-01,6.145,5.19,5.195,5.265
1989-09-04,5.911,5.23,5.249,5.282
1989-09-05,5.911,5.23,5.249,5.282
1989-09-06,5.911,5.23,5.249,5.282
1989-09-07,5.911,5.23,5.249,5.282
1989-09-08,5.911,5.23,5.249,5.282
1989-09-11,6.266,5.29,5.259,5.296
1989-09-12,6.266,5.29,5.259,5.296
1989-09-13,6.266,5.29,5.259,5.296
1989-09-14,6.266,5.29,5.259,5.296
1989-09-15,6.266,5.29,5.259,5.296
1989-09-18,6.491,5.334,5.263,5.33
1989-09-19,6.491,5.334,5.263,5.33
1989-09-20,6.491,5.334,5.263,5.33
1989-09-21,6.491,5.334,5.263,5.33
1989-09-22,6.491,5.334,5.263,5.33
1989-09-25,6.505,5.376,5.282,5.318
1989-09-26,6.505,5.376,5.282,5.318
1989-09-27,6.505,5.376,5.282,5.318
1989-09-28,6.505,5.376,5.282,5.318
1989-09-29,6.648,5.451,5.311,5.331
1989-10-02,6.672,5.438,5.315,5.334
1989-10-03,6.672,5.438,5.315,5.334
1989-10-04,6.672,5.438,5.315,5.334
1989-10-05,6.672,5.438,5.315,5.334
1989-10-06,6.672,5.438,5.315,5.334
1989-10-09,6.547,5.564,5.312,5.28
1989-10-10,6.547,5.564,5.312,5.28
1989-10-11,6.547,5.564,5.312,5.28
1989-10-12,6.547,5.564,5.312,5.28
1989-10-13,6.547,5.564,5.312,5.28
1989-10-16,6.848,5.64,5.348,5.285
1989-10-17,6.848,5.64,5.348,5.285
1989-10-18,6.848,5.64,5.348,5.285
1989-10-19,6.848,5.64,5.348,5.285
1989-10-20,6.848,5.64,5.348,5.285
1989-10-23,6.682,5.647,5.337,5.2
1989-10-24,6.682,5.647,5.337,5.2
1989-10-25,6.682,5.647,5.337,5.2
1989-10-26,6.682,5.647,5.337,5.2
1989-10-27,6.682,5.647,5.337,5.2
1989-10-30,6.522,5.62,5.308,5.153
1989-10-31,6.571,5.581,5.31,5.195
1989-11-01,6.571,5.581,5.31,5.195
1989-11-02,6.571,5.581,5.31,5.195
1989-11-03,6.571,5.581,5.31,5.195
1989-11-06,6.688,5.528,5.275,5.244
1989-11-07,6.688,5.528,5.275,5.244
1989-11-08,6.688,5.528,5.275,5.244
1989-11-09,6.688,5.528,5.275,5.244
1989-11-10,6.688,5.528,5.275,5.244
1989-11-13,6.661,5.481,5.3,5.281
1989-11-14,6.661,5.481,5.3,5.281
1989-11-15,6.661,5.481,5.3,5.281
1989-11-16,6.661,5.481,5.3,5.281
1989-11-17,6.661,5.481,5.3,5.281
1989-11-20,6.5,5.451,5.37,5.369
1989-11-21,6.5,5.451,5.37,5.369
1989-11-22,6.5,5.451,5.37,5.369
1989-11-23,6.5,5.451,5.37,5.369
1989-11-24,6.5,5.451,5.37,5.369
1989-11-27,6.45,5.582,5.437,5.376
1989-11-28,6.45,5.582,5.437,5.376
1989-11-29,6.45,5.582,5.437,5.376
1989-11-30,6.45,5.582,5.437,5.376
1989-12-01,6.45,5.582,5.437,5.376
1989-12-04,6.734,5.581,5.429,5.452
1989-12-05,6.734,5.581,5.429,5.452
1989-12-06,6.734,5.581,5.429,5.452
1989-12-07,6.734,5.581,5.429,5.452
1989-12-08,6.734,5.581,5.429,5.452
1989-12-11,6.625,5.594,5.454,5.408
1989-12-12,6.625,5.594,5.454,5.408
1989-12-13,6.625,5.594,5.454,5.408
1989-12-14,6.625,5.594,5.454,5.408
1989-12-15,6.625,5.594,5.454,5.408
1989-12-18,6.672,5.687,5.564,5.523
1989-12-19,6.672,5.687,5.564,5.523
1989-12-20,6.672,5.687,5.564,5.523
1989-12-21,6.672,5.687,5.564,5.523
1989-12-22,6.672,5.687,5.564,5.523
1989-12-25,6.672,5.687,5.564,5.523
1989-12-26,,,,
1989-12-27,6.699,5.757,5.587,5.512
1989-12-28,6.699,5.757,5.587,5.512
1989-12-29,6.736,5.764,5.618,5.556
1990-01-01,6.736,5.764,5.618,5.556
1990-01-02,6.736,5.764,5.618,5.556
1990-01-03,6.742,5.768,5.616,5.552
1990-01-04,6.742,5.768,5.616,5.552
1990-01-05,6.742,5.768,5.616,5.552
1990-01-08,7.324,6.006,5.692,5.564
1990-01-09,7.324,6.006,5.692,5.564
1990-01-10,7.324,6.006,5.692,5.564
1990-01-11,7.324,6.006,5.692,5.564
1990-01-12,7.324,6.006,5.692,5.564
1990-01-15,7.506,6.085,5.819,5.725
1990-01-16,7.506,6.085,5.819,5.725
1990-01-17,7.506,6.085,5.819,5.725
1990-01-18,7.506,6.085,5.819,5.725
1990-01-19,7.506,6.085,5.819,5.725
1990-01-22,7.769,6.321,5.98,5.858
1990-01-23,7.769,6.321,5.98,5.858
1990-01-24,7.769,6.321,5.98,5.858
1990-01-25,7.769,6.321,5.98,5.858
1990-01-26,7.769,6.321,5.98,5.858
1990-01-29,7.699,6.263,6.059,5.984
1990-01-30,7.699,6.263,6.059,5.984
1990-01-31,7.649,6.269,6.04,5.967
1990-02-01,7.649,6.269,6.04,5.967
1990-02-02,7.649,6.269,6.04,5.967
1990-02-05,7.549,6.339,6.051,5.915
1990-02-06,7.549,6.339,6.051,5.915
1990-02-07,7.549,6.339,6.051,5.915
1990-02-08,7.549,6.339,6.051,5.915
1990-02-09,7.549,6.339,6.051,5.915
1990-02-12,7.622,6.376,6.096,5.963
1990-02-13,7.622,6.376,6.096,5.963
1990-02-14,7.622,6.376,6.096,5.963
1990-02-15,7.622,6.376,6.096,5.963
1990-02-16,7.622,6.376,6.096,5.963
1990-02-19,7.423,6.374,6.142,6.029
1990-02-20,7.423,6.374,6.142,6.029
1990-02-21,7.423,6.374,6.142,6.029
1990-02-22,7.423,6.374,6.142,6.029
1990-02-23,7.423,6.374,6.142,6.029
1990-02-26,7.713,6.623,6.239,6.047
1990-02-27,7.713,6.623,6.239,6.047
1990-02-28,7.785,6.714,6.292,6.079
1990-03-01,7.785,6.714,6.292,6.079
1990-03-02,7.785,6.714,6.292,6.079
1990-03-05,7.642,6.656,6.332,6.171
1990-03-06,7.642,6.656,6.332,6.171
1990-03-07,7.642,6.656,6.332,6.171
1990-03-08,7.642,6.656,6.332,6.171
1990-03-09,7.642,6.656,6.332,6.171
1990-03-12,7.5,6.534,6.311,6.203
1990-03-13,7.5,6.534,6.311,6.203
1990-03-14,7.5,6.534,6.311,6.203
1990-03-15,7.5,6.534,6.311,6.203
1990-03-16,7.5,6.534,6.311,6.203
1990-03-19,7.337,6.489,6.36,6.3
1990-03-20,7.337,6.489,6.36,6.3
1990-03-21,7.337,6.489,6.36,6.3
1990-03-22,7.337,6.489,6.36,6.3
1990-03-23,7.337,6.489,6.36,6.3
1990-03-26,7.565,6.635,6.376,6.251
1990-03-27,7.565,6.635,6.376,6.251
1990-03-28,7.565,6.635,6.376,6.251
1990-03-29,7.565,6.635,6.376,6.251
1990-03-30,7.734,6.717,6.475,6.37
1990-04-02,7.792,6.758,6.37,6.582
1990-04-03,7.792,6.758,6.37,6.582
1990-04-04,7.792,6.758,6.37,6.582
1990-04-05,7.792,6.758,6.37,6.582
1990-04-06,7.792,6.758,6.37,6.582
1990-04-09,7.717,6.647,6.448,6.381
1990-04-10,7.717,6.647,6.448,6.381
1990-04-11,7.717,6.647,6.448,6.381
1990-04-12,7.717,6.647,6.448,6.381
1990-04-13,7.717,6.647,6.448,6.381
1990-04-16,7.717,6.647,6.448,6.381
1990-04-17,7.6,6.672,6.507,6.442
