SNB data portal,,,,
https://data.snb.ch/en,,,,
,,,,
Table selection,,,,
"Interest rates, yields and foreign exchange market",,,,
Spot interest rates on Swiss Confederation bond issues for selected maturities,,,,
,,,,
https://data.snb.ch/en/topics/ziredev#!/chart/rendeidglfzch,,,,
,,,,
Please note: This file contains no other information or links.,,,,
"In order to understand the values in this file, it may be necessary to consult the corresponding chart.",,,,
"For copyright reasons, the downloading of data series can be restricted.",,,,
,,,,
Chart ID,rendeidglfzch,,,
,,,,
,2 years,5 years,10 years,20 years
1988-01-04,3.691,3.823,4.015,4.229
1988-01-05,3.691,3.823,4.015,4.229
1988-01-06,3.691,3.823,4.015,4.229
1988-01-07,3.691,3.823,4.015,4.229
1988-01-08,3.691,3.823,4.015,4.229
1988-01-11,3.72,3.847,4.015,4.232
1988-01-12,3.72,3.847,4.015,4.232
1988-01-13,3.72,3.847,4.015,4.232
1988-01-14,3.72,3.847,4.015,4.232
1988-01-15,3.72,3.847,4.015,4.232
1988-01-18,3.699,3.82,4.025,4.292
1988-01-19,3.699,3.82,4.025,4.292
1988-01-20,3.699,3.82,4.025,4.292
1988-01-21,3.699,3.82,4.025,4.292
1988-01-22,3.699,3.82,4.025,4.292
1988-01-25,3.101,3.705,4.085,4.286
1988-01-26,3.101,3.705,4.085,4.286
1988-01-27,3.101,3.705,4.085,4.286
1988-01-28,3.101,3.705,4.085,4.286
1988-01-29,3.218,3.695,4.092,4.326
1988-02-01,3.199,3.69,4.115,4.364
1988-02-02,3.199,3.69,4.115,4.364
1988-02-03,3.199,3.69,4.115,4.364
1988-02-04,3.199,3.69,4.115,4.364
1988-02-05,3.199,3.69,4.115,4.364
1988-02-08,3.495,3.736,4.08,4.365
1988-02-09,3.495,3.736,4.08,4.365
1988-02-10,3.495,3.736,4.08,4.365
1988-02-11,3.495,3.736,4.08,4.365
1988-02-12,3.495,3.736,4.08,4.365
1988-02-15,2.946,3.716,4.134,4.346
1988-02-16,2.946,3.716,4.134,4.346
1988-02-17,2.946,3.716,4.134,4.346
1988-02-18,2.946,3.716,4.134,4.346
1988-02-19,2.946,3.716,4.134,4.346
1988-02-22,3.71,3.777,4.061,4.36
1988-02-23,3.71,3.777,4.061,4.36
1988-02-24,3.71,3.777,4.061,4.36
1988-02-25,3.71,3.777,4.061,4.36
1988-02-26,3.71,3.777,4.061,4.36
1988-02-29,2.99,3.672,4.098,4.332
1988-03-01,2.99,3.672,4.098,4.332
1988-03-02,2.99,3.672,4.098,4.332
1988-03-03,2.99,3.672,4.098,4.332
1988-03-04,2.99,3.672,4.098,4.332
1988-03-07,3.097,3.725,4.084,4.272
1988-03-08,3.097,3.725,4.084,4.272
1988-03-09,3.097,3.725,4.084,4.272
1988-03-10,3.097,3.725,4.084,4.272
1988-03-11,3.097,3.725,4.084,4.272
1988-03-14,3.07,3.728,4.086,4.271
1988-03-15,3.07,3.728,4.086,4.271
1988-03-16,3.07,3.728,4.086,4.271
1988-03-17,3.07,3.728,4.086,4.271
1988-03-18,3.07,3.728,4.086,4.271
1988-03-21,2.996,3.707,4.11,4.319
1988-03-22,2.996,3.707,4.11,4.319
1988-03-23,2.996,3.707,4.11,4.319
1988-03-24,2.996,3.707,4.11,4.319
1988-03-25,2.996,3.707,4.11,4.319
1988-03-28,3.06,3.791,4.128,4.299
1988-03-29,3.06,3.791,4.128,4.299
1988-03-30,3.06,3.791,4.128,4.299
1988-03-31,3.263,3.823,3.998,4.255
1988-04-01,3.263,3.823,3.998,4.255
1988-04-04,3.263,3.823,3.998,4.255
1988-04-05,3.269,3.822,4.026,4.175
1988-04-06,3.269,3.822,4.026,4.175
1988-04-07,3.269,3.822,4.026,4.175
1988-04-08,3.269,3.822,4.026,4.175
1988-04-11,3.271,3.838,4.062,4.182
1988-04-12,3.271,3.838,4.062,4.182
1988-04-13,3.271,3.838,4.062,4.182
1988-04-14,3.271,3.838,4.062,4.182
1988-04-15,3.271,3.838,4.062,4.182
1988-04-18,3.091,3.718,4.007,4.155
1988-04-19,3.091,3.718,4.007,4.155
1988-04-20,3.091,3.718,4.007,4.155
1988-04-21,3.091,3.718,4.007,4.155
1988-04-22,3.091,3.718,4.007,4.155
1988-04-25,3.318,3.696,3.895,4.198
1988-04-26,3.318,3.696,3.895,4.198
1988-04-27,3.318,3.696,3.895,4.198
1988-04-28,3.318,3.696,3.895,4.198
1988-04-29,3.25,3.684,3.965,4.2
1988-05-02,3.014,3.669,4.032,4.228
1988-05-03,3.014,3.669,4.032,4.228
1988-05-04,3.014,3.669,4.032,4.228
1988-05-05,3.014,3.669,4.032,4.228
1988-05-06,3.014,3.669,4.032,4.228
1988-05-09,3.374,3.867,4.035,4.118
1988-05-10,3.374,3.867,4.035,4.118
1988-05-11,3.374,3.867,4.035,4.118
1988-05-12,3.374,3.867,4.035,4.118
1988-05-13,3.374,3.867,4.035,4.118
1988-05-16,3.339,3.875,4.07,4.168
1988-05-17,3.339,3.875,4.07,4.168
1988-05-18,3.339,3.875,4.07,4.168
1988-05-19,3.339,3.875,4.07,4.168
1988-05-20,3.339,3.875,4.07,4.168
1988-05-23,3.339,3.875,4.07,4.168
1988-05-24,3.339,3.897,4.128,4.244
1988-05-25,3.339,3.897,4.128,4.244
1988-05-26,3.339,3.897,4.128,4.244
1988-05-27,3.339,3.897,4.128,4.244
1988-05-30,3.458,3.968,4.143,4.23
1988-05-31,3.602,3.974,4.127,4.247
1988-06-01,3.602,3.974,4.127,4.247
1988-06-02,3.602,3.974,4.127,4.247
1988-06-03,3.602,3.974,4.127,4.247
1988-06-06,3.507,4.006,4.186,4.275
1988-06-07,3.507,4.006,4.186,4.275
1988-06-08,3.507,4.006,4.186,4.275
1988-06-09,3.507,4.006,4.186,4.275
1988-06-10,3.507,4.006,4.186,4.275
1988-06-13,3.568,3.878,4.094,4.345
1988-06-14,3.568,3.878,4.094,4.345
1988-06-15,3.568,3.878,4.094,4.345
1988-06-16,3.568,3.878,4.094,4.345
1988-06-17,3.568,3.878,4.094,4.345
1988-06-20,3.501,3.876,4.166,4.342
1988-06-21,3.501,3.876,4.166,4.342
1988-06-22,3.501,3.876,4.166,4.342
1988-06-23,3.501,3.876,4.166,4.342
1988-06-24,3.501,3.876,4.166,4.342
1988-06-27,3.559,3.894,4.152,4.301
1988-06-28,3.559,3.894,4.152,4.301
1988-06-29,3.559,3.894,4.152,4.301
1988-06-30,3.707,3.897,4.155,4.38
1988-07-01,3.707,3.897,4.155,4.38
1988-07-04,3.772,3.895,4.164,4.386
1988-07-05,3.772,3.895,4.164,4.386
1988-07-06,3.772,3.895,4.164,4.386
1988-07-07,3.772,3.895,4.164,4.386
1988-07-08,3.772,3.895,4.164,4.386
1988-07-11,3.92,3.943,4.161,4.387
1988-07-12,3.92,3.943,4.161,4.387
1988-07-13,3.92,3.943,4.161,4.387
1988-07-14,3.92,3.943,4.161,4.387
1988-07-15,3.92,3.943,4.161,4.387
